N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
196,Заводской,68000,11.12726298,1115,2,61,4.110873864,31,3.433987204,9.5,2.251291799,1,0,2010
197,Ленинский,75000,11.22524339,1293,2,58,4.060443011,31,3.433987204,9.8,2.282382386,1,0,2003
198,Ленинский,85000,11.35040654,1417,2,60,4.094344562,31,3.433987204,9,2.197224577,0,0,2010
199,Первомайский,51000,10.83958091,1214,2,42,3.737669618,31,3.433987204,6,1.791759469,1,0,1961
200,Первомайский,51000,10.83958091,1214,2,42,3.737669618,31,3.433987204,6,1.791759469,1,0,1961
201,Советский,83000,11.32659589,1766,2,47,3.850147602,31,3.433987204,8,2.079441542,0,1,1961
202,Советский,54000,10.89673933,1256,2,43,3.761200116,31,3.433987204,6.1,1.808288771,0,1,1963
203,Фрунзенский,69000,11.14186178,1353,2,51,3.931825633,31,3.433987204,7.2,1.974081026,0,1,1984
204,Фрунзенский,72000,11.1844214,1180,2,61,4.110873864,31,3.433987204,9.5,2.251291799,0,0,2008
205,Фрунзенский,55000,10.91508846,1168,2,47.1,3.852273001,31,3.433987204,7.6,2.028148247,1,0,1973
206,Центральный,53000,10.87804719,1218,2,43.5,3.772760938,31,3.433987204,6.5,1.871802177,0,0,1963
207,Центральный,54000,10.89673933,1200,2,45,3.80666249,31,3.433987204,7.5,2.014903021,1,0,1965
208,Фрунзенский,54000,10.89673933,1253,2,43.1,3.763522997,31.3,3.443618098,5.6,1.722766598,0,1,1965
209,Советский,190000,12.15477935,3405,2,55.8,4.021773869,31.4,3.446807893,8.7,2.163323026,0,1,1959
210,Ленинский,55000,10.91508846,1170,2,47,3.850147602,31.5,3.449987546,6.12,1.811562097,0,0,1969
211,Ленинский,54000,10.89673933,1144,2,47.2,3.854393893,31.7,3.456316681,6.2,1.824549292,1,0,1970
212,Фрунзенский,73000,11.19821472,1351,2,54.03,3.989539448,31.7,3.456316681,9.4,2.240709689,1,0,1983
213,Октябрьский,54000,10.89673933,1116,2,48.4,3.879499814,31.8,3.45946629,7.4,2.00148,0,0,1976
214,Первомайский,54000,10.89673933,1144,2,47.2,3.854393893,31.8,3.45946629,6,1.791759469,1,0,1968
215,Фрунзенский,55000,10.91508846,1136,2,48.4,3.879499814,31.8,3.45946629,7.5,2.014903021,1,0,1971
216,Заводской,54500,10.90595598,1160,2,47,3.850147602,32,3.465735903,6.2,1.824549292,1,0,1967
217,Ленинский,105000,11.56171563,1750,2,60,4.094344562,32,3.465735903,10,2.302585093,1,1,1954
218,Ленинский,54000,10.89673933,1149,2,47,3.850147602,32,3.465735903,6,1.791759469,1,0,1975
219,Ленинский,54700,10.90961899,1094,2,50,3.912023005,32,3.465735903,6.2,1.824549292,0,0,1971
221,Октябрьский,82000,11.31447453,1421,2,57.7,4.055257174,32,3.465735903,10,2.302585093,0,0,2006
223,Партизанский,70000,11.15625052,1346,2,52,3.951243719,32,3.465735903,9,2.197224577,0,1,2002
224,Советский,69000,11.14186178,1500,2,46,3.828641396,32,3.465735903,7.2,1.974081026,0,1,1961
225,Фрунзенский,60000,11.00209984,1000,3,60,4.094344562,32,3.465735903,10,2.302585093,0,0,1982
226,Фрунзенский,62500,11.04292184,1157,2,54,3.988984047,32,3.465735903,9.3,2.2300144,0,0,1983
227,Фрунзенский,54500,10.90595598,1144,2,47.63,3.863462815,32,3.465735903,6.2,1.824549292,1,0,1973
228,Центральный,120000,11.69524702,2222,2,54,3.988984047,32,3.465735903,8,2.079441542,1,1,1982
229,Заводской,58000,10.96819829,1155,2,50.2,3.916015027,32.1,3.46885603,7.1,1.960094784,0,1,1974
231,Центральный,54500,10.90595598,1230,2,44.3,3.790984677,32.52,3.481855285,5.8,1.757857918,0,1,1962
232,Заводской,51000,10.83958091,1092,2,46.7,3.843744165,32.8,3.490428515,6,1.791759469,1,0,1962
234,Заводской,67000,11.1124479,1314,2,51,3.931825633,33,3.496507561,8,2.079441542,0,1,1970
235,Заводской,53500,10.88743693,1189,2,45,3.80666249,33,3.496507561,6,1.791759469,0,0,1964
236,Фрунзенский,52000,10.858999,1156,2,45,3.80666249,33,3.496507561,6,1.791759469,1,0,1968
237,Центральный,150000,11.91839057,2239,2,67,4.204692619,33,3.496507561,10,2.302585093,1,1,2008
240,Центральный,54000,10.89673933,1200,2,45,3.80666249,33,3.496507561,5.7,1.740466175,0,0,1963
241,Октябрьский,54900,10.91326863,1036,2,53,3.970291914,33.5,3.511545439,8,2.079441542,0,1,1978
242,Фрунзенский,150000,11.91839057,2113,2,71,4.262679877,33.6,3.514526067,19,2.944438979,0,1,2005
244,Ленинский,56000,10.93310697,1120,2,50,3.912023005,34,3.526360525,6.2,1.824549292,0,0,1970
245,Ленинский,69500,11.14908203,1139,2,61,4.110873864,34,3.526360525,8,2.079441542,0,1,1957
246,Советский,79000,11.27720313,1491,2,53,3.970291914,34,3.526360525,6,1.791759469,0,1,1968
247,Заводской,55000,10.91508846,1102,2,49.9,3.910021003,34.4,3.538056564,6.2,1.824549292,0,0,1970
248,Октябрьский,54000,10.89673933,1087,2,49.7,3.906004933,34.4,3.538056564,6.2,1.824549292,0,0,1968
249,Ленинский,68500,11.13458902,1245,3,55,4.007333185,35,3.555348061,7.6,2.028148247,0,1,1975
250,Ленинский,56000,10.93310697,1057,3,53,3.970291914,35,3.555348061,6,1.791759469,1,0,1967
251,Ленинский,105000,11.56171563,1944,2,54,3.988984047,35,3.555348061,8.7,2.163323026,0,1,1948
252,Первомайский,170000,12.04355372,2429,2,70,4.248495242,35,3.555348061,14,2.63905733,0,0,2007
253,Партизанский,53000,10.87804719,994,2,53.3,3.975936331,35.4,3.56671182,7,1.945910149,0,1,1975
254,Фрунзенский,74000,11.21182037,1138,3,65,4.17438727,35.5,3.569532696,8,2.079441542,0,1,1967
255,Первомайский,205000,12.23076526,3213,2,63.8,4.15575319,36,3.583518938,11.7,2.459588842,0,1,1947
256,Фрунзенский,83000,11.32659589,1122,2,74,4.304065093,36,3.583518938,11,2.397895273,0,0,2008
257,Фрунзенский,77000,11.2515607,1027,2,75,4.317488114,36,3.583518938,11,2.397895273,1,0,2008
258,Фрунзенский,78000,11.26446411,1114,2,70,4.248495242,36,3.583518938,12,2.48490665,0,0,2003
259,Первомайский,110000,11.60823564,1565,2,70.3,4.252771799,36.2,3.589059119,15.2,2.721295428,0,1,2008
260,Ленинский,90000,11.40756495,1475,2,61,4.110873864,37,3.610917913,8,2.079441542,1,1,1982
261,Советский,82000,11.31447453,1302,3,63,4.143134726,37,3.610917913,9,2.197224577,1,0,1982
262,Первомайский,60000,11.00209984,1119,2,53.6,3.981549068,37.6,3.62700405,6.2,1.824549292,0,0,1968
263,Ленинский,160000,11.98292909,2857,2,56,4.025351691,38,3.63758616,6.5,1.871802177,0,1,1960
264,Ленинский,160000,11.98292909,2857,2,56,4.025351691,38,3.63758616,6.5,1.871802177,0,1,1960
265,Октябрьский,88000,11.38509209,1333,3,66,4.189654742,38,3.63758616,9,2.197224577,0,0,1985
266,Советский,98000,11.49272276,1307,2,75,4.317488114,38,3.63758616,10.4,2.341805806,0,0,2010
268,Партизанский,114000,11.64395373,1900,2,60,4.094344562,39,3.663561646,8,2.079441542,0,1,1960
269,Ленинский,98000,11.49272276,1361,3,72,4.276666119,40,3.688879454,10,2.302585093,1,1,1951
270,Октябрьский,100000,11.51292546,1515,3,66,4.189654742,40,3.688879454,9,2.197224577,0,1,1979
271,Партизанский,140000,11.8493977,1867,3,75,4.317488114,40,3.688879454,11,2.397895273,1,1,1959
272,Советский,90000,11.40756495,1385,3,65,4.17438727,40,3.688879454,9,2.197224577,0,1,1987
273,Фрунзенский,71000,11.17043516,1268,2,56,4.025351691,40,3.688879454,9,2.197224577,0,0,2009
275,Октябрьский,57000,10.95080655,983,3,58,4.060443011,41,3.713572067,6,1.791759469,1,0,1970
278,Фрунзенский,79000,11.27720313,1152,3,68.6,4.228292535,41.9,3.735285827,7.2,1.974081026,0,0,1994
280,Советский,250000,12.4292162,3472,3,72,4.276666119,42,3.737669618,10,2.302585093,1,1,1949
281,Центральный,185000,12.1281111,2534,3,73,4.290459441,42,3.737669618,14,2.63905733,0,1,1987
282,Центральный,125000,11.73606902,1603,3,78,4.356708827,42,3.737669618,9.6,2.261763098,0,0,2006
283,Первомайский,82000,11.31447453,1262,3,65,4.17438727,42.2,3.742420221,7.2,1.974081026,0,0,1995
284,Ленинский,125000,11.73606902,1786,3,70,4.248495242,43,3.761200116,8,2.079441542,1,1,1928
285,Партизанский,160000,11.98292909,2353,3,68,4.219507705,43,3.761200116,9,2.197224577,0,1,1980
286,Первомайский,90000,11.40756495,1406,3,64,4.158883083,43,3.761200116,7,1.945910149,0,0,1990
287,Первомайский,80000,11.28978191,1231,3,65,4.17438727,43,3.761200116,7.2,1.974081026,1,0,1990
288,Советский,85000,11.35040654,1349,3,63,4.143134726,43,3.761200116,7,1.945910149,0,0,1980
290,Фрунзенский,77000,11.2515607,1203,3,64,4.158883083,43,3.761200116,7,1.945910149,0,0,1993
291,Фрунзенский,68000,11.12726298,1147,3,59.3,4.082609306,43,3.761200116,6,1.791759469,0,0,1970
292,Фрунзенский,75000,11.22524339,1190,3,63,4.143134726,43,3.761200116,7,1.945910149,0,0,1993
293,Фрунзенский,75000,11.22524339,1119,3,67,4.204692619,43,3.761200116,7,1.945910149,0,0,1989
294,Центральный,90000,11.40756495,1406,3,64,4.158883083,43,3.761200116,7,1.945910149,0,0,1986
295,Московский,75000,11.22524339,1192,3,62.9,4.141546164,43.2,3.765840495,9.2,2.219203484,0,0,1997
297,Московский,82500,11.32055357,1307,3,63.13,4.145196092,43.41,3.770689829,7.11,1.961502244,0,0,1978
298,Советский,95000,11.46163217,1498,3,63.42,4.149779269,43.57,3.77436884,7.23,1.978239036,0,0,1979
299,Фрунзенский,89000,11.39639165,1249,3,72,4.276666119,43.8,3.779633817,9.32,2.232162629,0,0,1978
300,Ленинский,89000,11.39639165,1203,3,74,4.304065093,44,3.784189634,10,2.302585093,0,0,2010
301,Фрунзенский,86000,11.36210258,1344,3,64,4.158883083,44,3.784189634,7,1.945910149,0,0,1998
302,Фрунзенский,99900,11.51192496,1388,3,72,4.276666119,44,3.784189634,11.5,2.442347035,0,0,2001
303,Фрунзенский,105000,11.56171563,1265,3,83,4.418840608,44,3.784189634,12,2.48490665,0,1,2007
304,Фрунзенский,110000,11.60823564,1163,3,94.6,4.549657476,44.5,3.795489189,13,2.564949357,1,0,2009
305,Московский,179000,12.09514108,2238,3,80,4.382026635,44.8,3.802208139,14.1,2.646174797,0,0,2006
306,Московский,50000,10.81977828,877,1,57,4.043051268,45,3.80666249,9,2.197224577,0,0,1987
307,Московский,94700,11.45846928,1334,3,71,4.262679877,45,3.80666249,10,2.302585093,0,0,2000
308,Октябрьский,53000,10.87804719,1000,2,53,3.970291914,45,3.80666249,7.5,2.014903021,0,1,1985
309,Московский,170000,12.04355372,2191,3,77.6,4.351567427,46,3.828641396,13.5,2.602689685,0,1,2009
310,Октябрьский,95000,11.46163217,1397,3,68,4.219507705,46,3.828641396,7,1.945910149,0,0,1978
311,Октябрьский,90000,11.40756495,1200,3,75,4.317488114,46,3.828641396,7.5,2.014903021,1,1,1953
312,Партизанский,145000,11.88448902,1908,3,76,4.33073334,46,3.828641396,12,2.48490665,0,1,1972
313,Партизанский,72000,11.1844214,1167,3,61.7,4.122283931,46,3.828641396,6,1.791759469,1,0,1966
314,Первомайский,72500,11.19134184,1189,3,61,4.110873864,46,3.828641396,6.2,1.824549292,1,1,1968
315,Советский,150000,11.91839057,1899,3,79,4.369447852,46,3.828641396,10,2.302585093,0,1,2007
316,Фрунзенский,74000,11.21182037,1147,3,64.5,4.166665224,46,3.828641396,7.5,2.014903021,0,0,1973
317,Ленинский,190000,12.15477935,2490,3,76.32,4.334935027,46.2,3.832979798,7.13,1.964311234,0,1,1969
318,Фрунзенский,118000,11.6784399,1573,3,75,4.317488114,46.8,3.845883203,9.5,2.251291799,1,0,2004
319,Заводской,83000,11.32659589,1078,1,77,4.343805422,47,3.850147602,10,2.302585093,0,0,2009
320,Фрунзенский,70000,11.15625052,1077,3,65,4.17438727,47,3.850147602,7,1.945910149,0,0,1971
322,Октябрьский,75000,11.22524339,1111,3,67.5,4.212127598,47.8,3.867025639,7.1,1.960094784,1,0,1975
323,Фрунзенский,103000,11.54248427,1108,3,93,4.532599493,48,3.871201011,12,2.48490665,0,0,2007
324,Центральный,125000,11.73606902,1359,3,92,4.521788577,48,3.871201011,22,3.091042453,1,0,2008
325,Фрунзенский,71000,11.17043516,1086,3,65.4,4.180522258,48.2,3.875359021,7.5,2.014903021,1,0,1971
326,Советский,97000,11.48246626,1252,4,77.5,4.350277936,48.96,3.891003638,7.22,1.976854953,0,0,1980
327,Московский,120000,11.69524702,1165,3,103,4.634728988,49,3.891820298,12,2.48490665,0,1,2005
328,Первомайский,108000,11.58988651,1500,3,72,4.276666119,49,3.891820298,10,2.302585093,1,1,1975
329,Фрунзенский,107000,11.58058411,1646,3,65,4.17438727,49,3.891820298,7,1.945910149,0,0,1975
332,Фрунзенский,110000,11.60823564,1393,3,79,4.369447852,50,3.912023005,11,2.397895273,0,0,2007
333,Центральный,152000,11.9316358,1448,2,105,4.65396035,50,3.912023005,18,2.890371758,0,1,2008
334,Центральный,152000,11.9316358,1448,2,105,4.65396035,50,3.912023005,18,2.890371758,0,1,2008
335,Фрунзенский,90000,11.40756495,1098,3,82,4.406719247,51,3.931825633,10,2.302585093,0,0,2008
336,Фрунзенский,93000,11.44035477,1192,4,78,4.356708827,51,3.931825633,9,2.197224577,0,0,1990
338,Фрунзенский,118000,11.6784399,1490,3,79.2,4.371976299,51.6,3.943521672,10.5,2.351375257,1,0,2004
340,Московский,143000,11.87059991,1723,3,83,4.418840608,52,3.951243719,13,2.564949357,0,1,2004
341,Центральный,140000,11.8493977,1591,4,88,4.477336814,52,3.951243719,18,2.890371758,0,1,1992
342,Фрунзенский,145000,11.88448902,1762,4,82.3,4.410371108,52.7,3.964615456,7.1,1.960094784,0,0,1993
343,Партизанский,147000,11.89818787,2000,3,73.5,4.297285406,52.9,3.968403339,6.1,1.808288771,0,1,1948
344,Московский,78000,11.26446411,975,4,80,4.382026635,53,3.970291914,7,1.945910149,1,0,1987
345,Центральный,135000,11.81303006,1627,4,83,4.418840608,53,3.970291914,8.6,2.151762203,1,1,1977
346,Московский,98000,11.49272276,1250,4,78.4,4.361823927,53.2,3.974058396,7.1,1.960094784,0,0,1993
347,Октябрьский,98000,11.49272276,1279,4,76.62,4.338858139,53.67,3.982854186,7.12,1.962907725,0,1,1985
348,Советский,138000,11.83500896,1426,3,96.8,4.572646994,54,3.988984047,13,2.564949357,0,0,2010
349,Фрунзенский,87000,11.3736634,1115,4,78,4.356708827,54,3.988984047,7,1.945910149,0,0,1996
350,Фрунзенский,95000,11.46163217,1218,4,78,4.356708827,54,3.988984047,7.2,1.974081026,0,0,1995
352,Центральный,130000,11.77528973,1512,4,86,4.454347296,54.6,4.000033883,7.3,1.987874348,0,0,1986
353,Центральный,160000,11.98292909,2078,3,77,4.343805422,55,4.007333185,7,1.945910149,0,1,1969
354,Партизанский,170000,12.04355372,1700,3,100,4.605170186,55.5,4.016383021,15.2,2.721295428,0,0,2008
355,Московский,79000,11.27720313,986,4,80.1,4.383275854,55.8,4.021773869,7.2,1.974081026,1,0,1993
356,Октябрьский,67000,11.1124479,870,3,77,4.343805422,56,4.025351691,10,2.302585093,0,0,2009
357,Партизанский,168000,12.03171926,1627,3,110,4.700480366,56,4.025351691,17,2.833213344,0,0,2009
358,Ленинский,131000,11.7829526,1294,3,101.2,4.617098757,57,4.043051268,11.2,2.415913778,0,1,2008
359,Фрунзенский,131000,11.7829526,926,4,141.5,4.952299717,57.4,4.050044303,17.2,2.844909384,1,0,2008
360,Центральный,290000,12.5776362,2413,3,120.2,4.789157022,57.6,4.053522568,13.4,2.595254707,0,0,2007
361,Советский,199000,12.2010601,2008,3,99.1,4.596129441,59,4.077537444,17,2.833213344,0,1,2003
362,Октябрьский,265000,12.4874851,2944,4,90,4.49980967,60,4.094344562,12,2.48490665,0,1,1957
363,Центральный,125000,11.73606902,1359,4,92,4.521788577,60,4.094344562,10,2.302585093,1,0,2008
364,Советский,190000,12.15477935,2028,3,93.7,4.540098189,62,4.127134385,12,2.48490665,0,1,2003
365,Первомайский,226000,12.32829028,2108,3,107.2,4.674696249,62.5,4.135166557,20.6,3.025291076,0,1,2001
366,Фрунзенский,199900,12.20557252,1931,4,103.5,4.639571613,63.5,4.151039906,10.5,2.351375257,0,1,1995
367,Центральный,330000,12.70684793,3134,3,105.3,4.656813419,65.3,4.178992036,11.2,2.415913778,1,0,2004
368,Центральный,211000,12.25961341,1702,3,124,4.820281566,67,4.204692619,14.7,2.687847494,1,0,2008
369,Советский,171000,12.04941884,1479,4,115.6,4.750135956,68.3,4.223909767,19.6,2.975529566,0,1,2008
370,Партизанский,200000,12.20607265,1887,4,106,4.663439094,69,4.234106505,8,2.079441542,0,1,1980
372,Октябрьский,158000,11.97035031,1254,3,126,4.836281907,71,4.262679877,30.6,3.421000009,1,1,2003
373,Фрунзенский,175500,12.07539432,1350,4,130,4.86753445,71,4.262679877,12,2.48490665,1,0,2010
375,Октябрьский,195000,12.18075484,1726,4,113,4.727387819,72,4.276666119,10,2.302585093,0,0,2000
376,Советский,177600,12.08728911,1370,4,129.6,4.864452784,74.5,4.310799125,14.6,2.681021529,1,1,2009
377,Советский,150000,11.91839057,1181,3,127,4.844187086,80,4.382026635,16,2.772588722,0,1,2007
378,Ленинский,100000,11.51292546,1136,3,88,4.477336814,81,4.394449155,6,1.791759469,0,1,1995
379,Первомайский,390000,12.87390202,2151,4,181.3,5.200153118,86.5,4.460144414,26.4,3.27336401,0,1,1999
380,Первомайский,270000,12.50617724,1996,3,135.3,4.907494535,88,4.477336814,20.2,3.005682604,1,1,2005
381,Центральный,276000,12.52815614,2000,4,138,4.927253685,88.6,4.484131858,14.2,2.653241965,0,0,2008
382,Ленинский,160000,11.98292909,1584,3,100,4.605170186,95,4.553876892,6,1.791759469,0,0,2007
383,Советский,399000,12.8967167,1975,4,202,5.308267697,100,4.605170186,16,2.772588722,1,1,2004
384,Ленинский,225900,12.3278477,1500,4,150.6,5.014627315,102.1,4.625952725,12.2,2.501435952,1,0,2008
385,Первомайский,225000,12.32385568,1500,4,150,5.010635294,110,4.700480366,20,2.995732274,0,1,2003
386,Советский,353000,12.77422334,1801,4,196,5.278114659,117,4.762173935,22,3.091042453,0,1,1997
387,Фрунзенский,59500,10.99373159,1266,2,47,3.850147602,28.07,3.33470139,7.2,1.974081026,1,0,1981
