Id;Address;Longitude;Latitude;CenterDistance;Station;StationDistance;District;Cena;LnCena;CenaM;Nkomnat;Elit;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;God;Tel;Bal
130;пр-т Газ-ты Звезда, 23;27,471955;53,867028;7073;Кунцевщина;4485;Московский;62000;11,034889664;1319;2;2;47;3,8501476017;28;3,3322045102;7;1,9459101491;0;0;1979;1;1
131;Космонавтов, 13/1;27,466735;53,852467;8335;Кунцевщина;6006;Московский;72000;11,184421398;1371;2;2;52,5;3,9608131696;28;3,3322045102;9,3;2,2300144002;1;0;1987;1;1
132;пр-т Газеты Звезда, 56;27,458004;53,858808;8344;Кунцевщина;5251;Московский;55000;10,9150884642;1122;2;2;49;3,8918202981;28;3,3322045102;7,5;2,0149030205;0;0;1991;1;1
133;Казинца, 76;27,501869;53,850035;7011;Институт Культуры;4731;Октябрьский;54500;10,9059559807;1160;2;2;47;3,8501476017;28;3,3322045102;7;1,9459101491;0;0;1976;1;1
134;Кнорина, 19;27,61343;53,935866;5032;Московская;1261;Первомайский;53000;10,8780471925;1205;2;2;44;3,7841896339;28;3,3322045102;6;1,7917594692;1;0;2010;1;0
135;Логойский тр-т, 19/1;27,611957;53,946371;5895;Московская;2271;Советский;75000;11,2252433925;1531;2;2;49;3,8918202981;28;3,3322045102;9;2,1972245773;0;1;1977;1;1
136;Бельского, 43;27,48277;53,898056;5200;Спортивная;1148;Фрунзенский;70000;11,156250521;1400;2;0;50;3,9120230054;28;3,3322045102;10;2,302585093;1;1;1975;1;1
137;Одоевского, 71;27,499524;53,901859;4082;Пушкинская;854;Фрунзенский;53000;10,8780471925;1233;2;0;43;3,7612001157;28;3,3322045102;6;1,7917594692;1;0;1900;1;0
138;Нововиленская, 24/В;27,540119;53,933375;3738;Фрунзенская;3108;Центральный;50000;10,8197782844;1316;2;2;38;3,6375861597;28;3,3322045102;5;1,6094379124;1;1;1960;1;0
139;Осипенко, 14;27,551447;53,925884;2711;Немига;2246;Центральный;60000;11,0020998412;1364;2;2;44;3,7841896339;28;3,3322045102;6;1,7917594692;0;0;1964;1;1
140;Гая, 3;27,557348;53,923763;2406;Площадь Якуба Коласа;1935;Центральный;57000;10,9508065468;1163;2;2;49;3,8918202981;28;3,3322045102;6;1,7917594692;1;0;1965;1;0
141;Старовиленская, 16;27,556118;53,909355;872;Немига;426;Центральный;175000;12,0725412529;3431;2;2;51;3,9318256327;28;3,3322045102;8;2,0794415417;0;1;1984;1;0
142;бульв. Шевченко, 12;27,556342;53,925433;2599;Площадь Якуба Коласа;2082;Центральный;54500;10,9059559807;1267;2;2;43;3,7612001157;28;3,3322045102;6,1;1,8082887712;0;1;1900;1;1
143;Уручская, 4;27,695617;53,950441;10259;Уручье;751;Первомайский;65000;11,0821425489;1354;2;2;48;3,8712010109;28;3,3322045102;7;1,9459101491;0;0;1979;1;1
144;Герасименко, 27;27,684712;53,881706;8363;Могилёвская;2321;Заводской;54500;10,9059559807;1173;2;2;46,47;3,8388069431;28,2;3,3393219779;7,16;1,968509981;0;0;1979;1;1
145;Якубовского, 50;27,447556;53,894384;7536;Кунцевщина;1364;Фрунзенский;73000;11,1982147201;1495;2;0;48,83;3,8883448781;28,34;3,3442742343;7,2;1,974081026;0;0;1986;1;1
146;Герасименко, 1;27,690443;53,871679;9081;Могилёвская;1539;Заводской;54500;10,9059559807;1160;2;2;47;3,8501476017;28,5;3,3499040873;7,2;1,974081026;1;0;1980;1;1
147;Илимская, 29;27,683328;53,890139;8067;Могилёвская;3208;Заводской;55000;10,9150884642;1171;2;2;46,95;3,8490832057;28,56;3,3520071375;7,2;1,974081026;0;0;1900;1;1
148;Маяковского, 158;27,57023;53,865871;4082;Пролетарская;2932;Ленинский;54500;10,9059559807;1087;2;2;50,14;3,9148190927;28,56;3,3520071375;6,45;1,8640801308;1;1;1957;1;0
149;Железнодорожная, 126/б;27,503162;53,876212;4814;Институт Культуры;2670;Московский;53500;10,8874369329;1173;2;2;45,6;3,8199077165;28,6;3,3534067178;5,9;1,7749523509;0;0;1963;1;1
150;Уманская, 65;27,501428;53,874832;4997;Институт Культуры;2838;Московский;55000;10,9150884642;1279;2;2;43;3,7612001157;28,6;3,3534067178;5,6;1,7227665977;1;0;1900;1;0
151;Калиновского, 91;27,638637;53,944696;6889;Восток;1386;Первомайский;54000;10,8967393255;1227;2;2;44;3,7841896339;28,6;3,3534067178;6,2;1,8245492921;0;0;1967;1;1
152;Кедышко, 12;27,619745;53,929749;4865;Московская;538;Первомайский;54500;10,9059559807;1256;2;2;43,4;3,7704594411;28,7;3,3568971228;6;1,7917594692;1;0;1964;1;1
153;Берута, 6;27,500629;53,907254;4047;Пушкинская;328;Фрунзенский;53000;10,8780471925;1199;2;0;44,2;3,7887247891;28,7;3,3568971228;6,2;1,8245492921;1;0;1900;0;0
154;Воронянского, 21;27,551096;53,878102;2777;Институт Культуры;1130;Октябрьский;110000;11,6082356448;1957;2;2;56,2;4,0289167569;28,9;3,3638415951;10;2,302585093;0;0;2000;0;1
155;пр-т Рокоссовского, 73;27,606199;53,865605;5004;Партизанская;1879;Ленинский;55000;10,9150884642;1250;2;2;44;3,7841896339;29;3,36729583;6,1;1,8082887712;1;0;1900;1;0
156;Волоха, 15;27,518631;53,896299;2908;Молодёжная;1183;Московский;54000;10,8967393255;1256;2;2;43;3,7612001157;29;3,36729583;5,6;1,7227665977;0;1;2005;1;1
157;пер. Вузовский, 16;27,561391;53,882364;2213;Первомайская;1416;Октябрьский;53500;10,8874369329;1244;2;2;43,01;3,7614326468;29;3,36729583;6;1,7917594692;1;1;1960;1;1
158;пер. Козлова, 22;27,598644;53,900236;2418;Пролетарская;1341;Партизанский;54900;10,9132686275;1274;2;2;43,1;3,7635229971;29;3,36729583;6;1,7917594692;0;1;1965;1;1
159;Калиновского, 18;27,635933;53,94237;6583;Восток;1315;Первомайский;63000;11,0508900054;1432;2;2;44;3,7841896339;29;3,36729583;6;1,7917594692;0;0;1968;1;1
160;50 лет Победы, 11;27,715515;53,947632;11247;Уручье;1835;Первомайский;87000;11,3736633976;1445;2;2;60,2;4,0976723523;29;3,36729583;9,5;2,2512917986;0;1;2001;1;1
161;Дунина-Марцинкевича, 4/2;27,487603;53,905955;4879;Спортивная;519;Фрунзенский;68000;11,1272629842;1360;2;0;50;3,9120230054;29;3,36729583;9;2,1972245773;0;0;1980;1;1
162;Тимирязева, 86;27,484226;53,931689;6042;Спортивная;2607;Центральный;110000;11,6082356448;2000;2;2;55;4,0073331852;29;3,36729583;8,5;2,1400661635;0;0;2001;1;1
163;Лермонтова, 20/а;27,517059;53,889523;3259;Институт Культуры;1574;Московский;55000;10,9150884642;1279;2;2;43;3,7612001157;29,2;3,3741687093;6,2;1,8245492921;1;0;1960;1;1
164;Прушинских, 46;27,577704;53,835994;7438;Партизанская;5542;Ленинский;62800;11,0477103525;1256;2;2;50;3,9120230054;29,3;3,377587516;9;2,1972245773;0;0;2002;1;1
165;Аэродромная, 5;27,537711;53,873845;3533;Институт Культуры;1368;Октябрьский;55000;10,9150884642;1238;2;2;44,41;3,7934646693;29,3;3,377587516;5,88;1,7715567619;0;1;1967;1;1
166;Одинцова, 23/1;27,447287;53,8983;7515;Кунцевщина;970;Фрунзенский;66000;11,097410021;1320;2;0;50;3,9120230054;29,31;3,3779287547;7,14;1,9657127764;0;0;1983;1;1
167;Брестская, 68/3;27,519287;53,853179;6128;Институт Культуры;3905;Октябрьский;55000;10,9150884642;1100;2;2;50;3,9120230054;29,4;3,3809946743;7,2;1,974081026;0;0;1978;1;1
168;Лынькова, 43;27,476761;53,92898;6312;Спортивная;2311;Фрунзенский;54900;10,9132686275;1009;2;0;54,4;3,9963641539;29,5;3,3843902633;8,3;2,1162555148;1;0;1978;1;1
169;Щербакова, 24;27,605058;53,886345;3336;Тракторный завод;739;Партизанский;55000;10,9150884642;1168;2;2;47,1;3,852273001;29,6;3,3877743613;9,1;2,2082744135;1;1;1947;1;0
170;Лермонтова, 24;27,515352;53,89025;3326;Институт Культуры;1702;Московский;55000;10,9150884642;1369;2;2;40,18;3,6933693594;29,63;3,3887873616;4,77;1,5623463049;0;1;1958;1;1
171;Цнянская, 25;27,584666;53,925969;3026;Академия наук;1033;Советский;79900;11,2885311318;1658;2;2;48,18;3,8749439972;29,68;3,3904734183;6,59;1,8855533485;1;1;1970;1;1
172;Семенова, 26;27,577426;53,870686;3655;Пролетарская;2273;Ленинский;55000;10,9150884642;1242;2;2;44,3;3,7909846771;29,7;3,3911470458;5,6;1,7227665977;1;1;1959;1;1
173;М.Богдановича;27,57474;53,929129;3101;Площадь Якуба Коласа;1581;Советский;75400;11,230562554;1300;1;2;58;4,0604430105;29,7;3,3911470458;11,4;2,4336133554;0;0;2010;0;1
174;Рыбалко, 8;27,595635;53,886568;2817;Пролетарская;714;Ленинский;80000;11,2897819137;1597;2;2;50,1;3,9140210081;29,8;3,3945083935;7,5;2,0149030205;0;1;1988;1;1
175;пр-т Рокоссовского, 110;27,606711;53,85738;5789;Партизанская;2499;Ленинский;55000;10,9150884642;1100;2;2;50;3,9120230054;30;3,4011973817;6,7;1,9021075264;0;1;1971;1;1
176;Есенина, 39;27,444331;53,855139;9312;Кунцевщина;5690;Московский;58000;10,9681982895;1234;2;2;47;3,8501476017;30;3,4011973817;7;1,9459101491;0;0;1990;1;1
177;Серова, 31;27,552803;53,850688;5763;Институт Культуры;4014;Октябрьский;49700;10,8137602121;1156;2;2;43;3,7612001157;30;3,4011973817;6;1,7917594692;0;0;1967;1;0
178;Кнорина, 8/а;27,612541;53,932119;4690;Парк Челюскинцев;871;Первомайский;57500;10,9595402268;1278;2;2;45;3,8066624898;30;3,4011973817;6;1,7917594692;0;0;1962;1;1
179;Филимонова, 47/а;27,635709;53,923318;5369;Московская;756;Первомайский;85000;11,3504065355;1574;2;2;54;3,9889840466;30;3,4011973817;10;2,302585093;0;1;1996;1;1
180;М.Богдановича, 112;27,580327;53,933624;3687;Академия наук;1771;Советский;90000;11,4075649493;1689;2;2;53,3;3,9759363312;30;3,4011973817;9;2,1972245773;0;1;1997;1;1
181;Корш-Саблина, 9;27,59099;53,936015;4206;Академия наук;1633;Советский;129000;11,7675676833;2179;2;2;59,2;4,0809215419;30;3,4011973817;11,9;2,4765384001;1;1;2009;0;1
182;пр-т Пушкина, 85/1;27,500979;53,923063;4607;Пушкинская;1535;Фрунзенский;59000;10,9852927229;1180;2;0;50;3,9120230054;30;3,4011973817;8,4;2,1282317058;0;0;1977;1;1
183;Бурдейного, 25;27,44744;53,903838;7494;Кунцевщина;506;Фрунзенский;66000;11,097410021;1320;2;0;50;3,9120230054;30;3,4011973817;7,2;1,974081026;0;0;1981;0;0
184;Притыцкого, 107;27,430156;53,905239;8629;Каменная Горка;499;Фрунзенский;85000;11,3504065355;1466;2;0;58;4,0604430105;30;3,4011973817;11;2,3978952728;0;0;2010;0;1
185;Осипенко, 27;27,554752;53,926266;2706;Площадь Якуба Коласа;2219;Центральный;49000;10,7995755771;1140;2;2;43;3,7612001157;30;3,4011973817;6;1,7917594692;1;0;1963;0;0
186;Коммунистическая, 16;27,567508;53,911025;1040;Площадь Победы;544;Центральный;148000;11,9049675527;2387;3;2;62;4,127134385;30;3,4011973817;18,2;2,9014215941;1;1;1954;1;0
187;бульв. Шевченко, 24;27,556486;53,927968;2877;Площадь Якуба Коласа;2231;Центральный;53000;10,8780471925;1178;2;2;45;3,8066624898;30;3,4011973817;5,8;1,7578579176;1;1;1965;1;1
188;Берута, 18;27,503809;53,901297;3803;Пушкинская;1000;Фрунзенский;65000;11,0821425489;1477;2;0;44;3,7841896339;30,3;3,4111477125;5,7;1,7404661748;0;0;1965;1;1
189;Р.Люксембург, 97;27,521883;53,891593;2875;Институт Культуры;1357;Московский;55000;10,9150884642;1310;2;2;42;3,7376696183;30,5;3,4177266836;6,2;1,8245492921;0;1;1961;1;1
190;Кедышко, 15/а;27,616772;53,93091;4800;Московская;767;Первомайский;53000;10,8780471925;1152;2;2;46;3,8286413965;30,5;3,4177266836;5,6;1,7227665977;0;0;1962;1;1
191;Артиллеристов, 18;27,560115;53,883468;2093;Институт Культуры;1326;Октябрьский;52000;10,8589989976;1128;2;2;46,1;3,83081295;30,6;3,421000009;5,9;1,7749523509;0;0;1900;0;1
192;пер. Уральский, 5;27,604744;53,899997;2818;Тракторный завод;1265;Партизанский;53500;10,8874369329;1166;2;2;45,89;3,8262472284;30,6;3,421000009;6;1,7917594692;0;0;1964;1;1
193;Калиновского, 35;27,624336;53,948973;6606;Московская;2330;Первомайский;53000;10,8780471925;1178;2;2;45;3,8066624898;30,6;3,421000009;5,8;1,7578579176;0;0;1900;1;1
194;Гая, 32;27,562217;53,933815;3505;Площадь Якуба Коласа;2437;Центральный;53000;10,8780471925;1186;2;2;44,7;3,7999735016;30,7;3,4242626546;5,9;1,7749523509;0;0;1962;1;1
195;Берута, 9-4;27,50795;53,903334;3532;Пушкинская;974;Фрунзенский;54500;10,9059559807;1217;2;0;44,8;3,8022081394;30,9;3,4307561839;6;1,7917594692;0;0;1967;1;1
196;Крупской, 6/а;27,628145;53,859047;6475;Автозаводская;1707;Заводской;68000;11,1272629842;1115;2;2;61;4,1108738642;31;3,4339872045;9,5;2,2512917986;1;0;2010;0;1
197;Прушинских, 28;27,585654;53,834766;7662;Партизанская;5353;Ленинский;75000;11,2252433925;1293;2;2;58;4,0604430105;31;3,4339872045;9,8;2,2823823857;1;0;2003;1;1
198;Авроровская, 8;27,566035;53,861363;4555;Институт Культуры;3219;Ленинский;85000;11,3504065355;1417;2;2;60;4,0943445622;31;3,4339872045;9;2,1972245773;0;0;2010;1;1
199;Волгоградсая, 9;27,622404;53,931864;5149;Московская;535;Первомайский;51000;10,8395809117;1214;2;2;42;3,7376696183;31;3,4339872045;6;1,7917594692;1;0;1961;1;0
200;Волгоградская, 9;27,622404;53,931864;5149;Московская;535;Первомайский;51000;10,8395809117;1214;2;2;42;3,7376696183;31;3,4339872045;6;1,7917594692;1;0;1961;1;0
201;пр-т Независимости, 76;27,604555;53,922231;3567;Академия наук;362;Советский;83000;11,3265958868;1766;2;2;47;3,8501476017;31;3,4339872045;8;2,0794415417;0;1;1961;1;1
202;Я.Колас, 63;27,554914;53,906077;621;Немига;71;Советский;54000;10,8967393255;1256;2;2;43;3,7612001157;31;3,4339872045;6,1;1,8082887712;0;1;1963;0;0
203;Бирюзова, 11/а;27,514211;53,91111;3271;Молодёжная;799;Фрунзенский;69000;11,1418617836;1353;2;0;51;3,9318256327;31;3,4339872045;7,2;1,974081026;0;1;1984;1;1
204;Панченко, 74;27,416825;53,892797;9556;Каменная Горка;2042;Фрунзенский;72000;11,184421398;1180;2;0;61;4,1108738642;31;3,4339872045;9,5;2,2512917986;0;0;2008;0;1
205;пр-т Пушкина, 3;27,496515;53,896416;4328;Пушкинская;1447;Фрунзенский;55000;10,9150884642;1168;2;0;47,1;3,852273001;31;3,4339872045;7,6;2,0281482473;1;0;1973;1;1
206;Гая, 3;27,557348;53,923763;2406;Площадь Якуба Коласа;1935;Центральный;53000;10,8780471925;1218;2;2;43,5;3,7727609381;31;3,4339872045;6,5;1,8718021769;0;0;1963;1;1
207;Каховская, 70;27,560717;53,928742;2942;Площадь Якуба Коласа;2074;Центральный;54000;10,8967393255;1200;2;2;45;3,8066624898;31;3,4339872045;7,5;2,0149030205;1;0;1965;1;0
208;Кальварийская, 52;27,512127;53,908533;3330;Молодёжная;785;Фрунзенский;54000;10,8967393255;1253;2;0;43,1;3,7635229971;31,3;3,4436180975;5,6;1,7227665977;0;1;1965;1;1
209;пр-т Независимости, 60;27,591502;53,918779;2669;Площадь Якуба Коласа;598;Советский;190000;12,1547793511;3405;2;2;55,8;4,0217738694;31,4;3,4468078929;8,7;2,1633230257;0;1;1959;1;1
210;Надеждинская, 15/2;27,565963;53,878134;2696;Первомайская;1770;Ленинский;55000;10,9150884642;1170;2;2;47;3,8501476017;31,5;3,4499875458;6,12;1,8115620965;0;0;1969;1;1
211;пр-т Рокоссовского, 109;27,612236;53,858325;5894;Партизанская;2209;Ленинский;54000;10,8967393255;1144;2;2;47,2;3,8543938926;31,7;3,4563166809;6,2;1,8245492921;1;0;1970;0;1
212;Якубовского, 21;27,457357;53,901175;6844;Кунцевщина;575;Фрунзенский;73000;11,1982147201;1351;2;0;54,03;3,9895394479;31,7;3,4563166809;9,4;2,2407096893;1;0;1983;1;1
213;Казинца, 78;27,502219;53,848515;7139;Институт Культуры;4863;Октябрьский;54000;10,8967393255;1116;2;2;48,4;3,8794998137;31,8;3,4594662898;7,4;2,0014800002;0;0;1976;1;1
214;Калиновского, 57;27,630471;53,946779;6679;Восток;1911;Первомайский;54000;10,8967393255;1144;2;2;47,2;3,8543938926;31,8;3,4594662898;6;1,7917594692;1;0;1968;1;1
215;Бельского, 27;27,482681;53,89987;5192;Спортивная;947;Фрунзенский;55000;10,9150884642;1136;2;0;48,4;3,8794998137;31,8;3,4594662898;7,5;2,0149030205;1;0;1971;1;1
216;Голодеда, 39-2;27,623725;53,83763;8248;Автозаводская;3827;Заводской;54500;10,9059559807;1160;2;2;47;3,8501476017;32;3,4657359028;6,2;1,8245492921;1;0;1967;1;1
217;пр-т Независимости, 16;27,555013;53,898193;638;Купаловская;526;Ленинский;105000;11,5617156291;1750;2;2;60;4,0943445622;32;3,4657359028;10;2,302585093;1;1;1954;1;1
218;Рокоссовского, 91;27,610286;53,860332;5638;Партизанская;2096;Ленинский;54000;10,8967393255;1149;2;2;47;3,8501476017;32;3,4657359028;6;1,7917594692;1;0;1975;1;1
219;Плеханова, 79;27,610601;53,861591;5534;Партизанская;1973;Ленинский;54700;10,9096189884;1094;2;2;50;3,9120230054;32;3,4657359028;6,2;1,8245492921;0;0;1971;1;1
220;пр-т Рокоссовского, 57;27,604815;53,867304;4797;Партизанская;1855;Ленинский;55000;10,9150884642;1170;2;2;47;3,8501476017;32;3,4657359028;6,2;1,8245492921;1;0;1900;1;1
221;пер. Корженевского, 2/а;27,525809;53,844696;6821;Институт Культуры;4694;Октябрьский;82000;11,3144745262;1421;2;2;57,7;4,0552571735;32;3,4657359028;10;2,302585093;0;0;2006;1;1
222;Корженевского, 15;27,499174;53,84723;7368;Институт Культуры;5089;Октябрьский;54000;10,8967393255;1080;2;2;50;3,9120230054;32;3,4657359028;7,5;2,0149030205;1;0;1900;1;1
223;Партизанский пр-т, 45;27,605858;53,879854;3809;Тракторный завод;1269;Партизанский;70000;11,156250521;1346;2;2;52;3,9512437186;32;3,4657359028;9;2,1972245773;0;1;2002;1;0
224;пр-т Машерова, 51;27,52871;53,911232;2388;Молодёжная;620;Советский;69000;11,1418617836;1500;2;2;46;3,8286413965;32;3,4657359028;7,2;1,974081026;0;1;1961;1;0
225;Брикета, 38;27,410546;53,908469;9930;Каменная Горка;1771;Фрунзенский;60000;11,0020998412;1000;3;0;60;4,0943445622;32;3,4657359028;10;2,302585093;0;0;1982;1;1
226;Якубовского, 21;27,457357;53,901175;6844;Кунцевщина;575;Фрунзенский;62500;11,0429218357;1157;2;0;54;3,9889840466;32;3,4657359028;9,3;2,2300144002;0;0;1983;1;1
227;Глебки, 84;27,475305;53,919023;5964;Спортивная;1242;Фрунзенский;54500;10,9059559807;1144;2;0;47,63;3,8634628148;32;3,4657359028;6,2;1,8245492921;1;0;1973;1;1
228;пл. Победителей, 43/2;27,535052;53,91538;2281;Фрунзенская;1143;Центральный;120000;11,6952470218;2222;2;2;54;3,9889840466;32;3,4657359028;8;2,0794415417;1;1;1982;1;1
229;Голодеда, 31;27,632223;53,839378;8373;Автозаводская;3444;Заводской;58000;10,9681982895;1155;2;2;50,2;3,9160150267;32,1;3,4688560301;7,1;1,960094784;0;1;1974;1;1
230;Глебки, 70;27,474039;53,918588;6028;Спортивная;1223;Фрунзенский;54000;10,8967393255;1137;2;0;47,5;3,860729711;32,1;3,4688560301;6,2;1,8245492921;1;0;1900;1;1
231;Каховская, 58;27,557384;53,928811;2963;Площадь Якуба Коласа;2243;Центральный;54500;10,9059559807;1230;2;2;44,3;3,7909846771;32,52;3,4818552847;5,8;1,7578579176;0;1;1962;0;1
232;Васнецова, 15;27,618596;53,871111;5079;Партизанская;863;Заводской;51000;10,8395809117;1092;2;2;46,7;3,8437441647;32,8;3,4904285154;6;1,7917594692;1;0;1962;1;1
233;Харьковская, 80/1;27,502749;53,897122;3913;Пушкинская;1414;Фрунзенский;49000;10,7995755771;1089;2;2;45;3,8066624898;32,8;3,4904285154;6;1,7917594692;1;0;1965;1;0
234;Партизанский пр-т, 72;27,640982;53,871185;6228;Автозаводская;530;Заводской;67000;11,1124478984;1314;2;2;51;3,9318256327;33;3,4965075615;8;2,0794415417;0;1;1970;1;0
235;Народная,34;27,622;53,873187;5095;Партизанская;555;Заводской;53500;10,8874369329;1189;2;2;45;3,8066624898;33;3,4965075615;6;1,7917594692;0;0;1964;1;1
236;Д.Сердича, 66;27,489319;53,919643;5126;Пушкинская;1248;Фрунзенский;52000;10,8589989976;1156;2;0;45;3,8066624898;33;3,4965075615;6;1,7917594692;1;0;1968;1;1
237;Нововиленская, 13/А;27,539625;53,929813;3389;Фрунзенская;2712;Центральный;150000;11,9183905731;2239;2;2;67;4,2046926194;33;3,4965075615;10;2,302585093;1;1;2008;1;0
238;В.Хоружей, 33;27,555103;53,92265;2307;Немига;1881;Центральный;53000;10,8780471925;1152;2;2;46;3,8286413965;33;3,4965075615;6;1,7917594692;1;0;1900;1;0
239;Карастояновой, 27;27,56529;53,936089;3764;Площадь Якуба Коласа;2546;Центральный;53500;10,8874369329;1189;2;2;45;3,8066624898;33;3,4965075615;6;1,7917594692;0;0;1900;1;0
240;Осипенко, 33;27,557717;53,926711;2729;Площадь Якуба Коласа;2083;Центральный;54000;10,8967393255;1200;2;2;45;3,8066624898;33;3,4965075615;5,7;1,7404661748;0;0;1963;1;1
241;Казинца, 122;27,50283;53,840829;7848;Институт Культуры;5595;Октябрьский;54900;10,9132686275;1036;2;2;53;3,9702919136;33,5;3,5115454388;8;2,0794415417;0;1;1978;1;0
242;Харьковская, 58;27,513493;53,900326;3175;Молодёжная;956;Фрунзенский;150000;11,9183905731;2113;2;1;71;4,262679877;33,6;3,514526067;19;2,9444389792;0;1;2005;1;1
243;пр-д Голодеда, 25;27,616727;53,838501;7946;Автозаводская;3957;Заводской;55000;10,9150884642;1122;2;2;49;3,8918202981;34;3,5263605246;6;1,7917594692;1;0;1900;1;1
244;Рокоссовского, 147;27,615137;53,854199;6381;Партизанская;2535;Ленинский;56000;10,9331069697;1120;2;2;50;3,9120230054;34;3,5263605246;6,2;1,8245492921;0;0;1970;1;1
245;Маяковского, 164;27,570886;53,863343;4366;Пролетарская;3180;Ленинский;69500;11,1490820316;1139;2;2;61;4,1108738642;34;3,5263605246;8;2,0794415417;0;1;1957;0;1
246;М.Богдановича, 80;27,574614;53,927172;2890;Площадь Якуба Коласа;1386;Советский;79000;11,2772031314;1491;2;2;53;3,9702919136;34;3,5263605246;6;1,7917594692;0;1;1968;0;0
247;Ауэзова, 8;27,644853;53,83721;9047;Могилёвская;3334;Заводской;55000;10,9150884642;1102;2;2;49,9;3,9100210028;34,4;3,5380565644;6,2;1,8245492921;0;0;1970;1;1
248;Ландера, 28;27,495068;53,840393;8151;Институт Культуры;5878;Октябрьский;54000;10,8967393255;1087;2;2;49,7;3,9060049331;34,4;3,5380565644;6,2;1,8245492921;0;0;1968;1;1
249;пр-т Рокоссовского, 116;27,607681;53,856174;5937;Партизанская;2571;Ленинский;68500;11,1345890243;1245;3;2;55;4,0073331852;35;3,5553480615;7,6;2,0281482473;0;1;1975;1;0
250;Козыревская, 35/1;27,568182;53,862435;4446;Институт Культуры;3196;Ленинский;56000;10,9331069697;1057;3;2;53;3,9702919136;35;3,5553480615;6;1,7917594692;1;0;1967;1;0
251;Ленина, 15;27,561382;53,898814;386;Купаловская;222;Ленинский;105000;11,5617156291;1944;2;2;54;3,9889840466;35;3,5553480615;8,7;2,1633230257;0;1;1948;1;0
252;пр-т Независимости, 168;27,689266;53,944521;9567;Уручье;156;Первомайский;170000;12,043553716;2429;2;2;70;4,248495242;35;3,5553480615;14;2,6390573296;0;0;2007;1;1
253;Фроликова, 41;27,61599;53,899159;3560;Тракторный завод;1010;Партизанский;53000;10,8780471925;994;2;2;53,3;3,9759363312;35,4;3,5667118201;7;1,9459101491;0;1;1975;0;1
254;Скрыганова, 5;27,514679;53,909742;3199;Молодёжная;686;Фрунзенский;74000;11,2118203722;1138;3;0;65;4,1743872699;35,5;3,5695326965;8;2,0794415417;0;1;1967;0;0
255;пр-т Независимости, 91;27,610026;53,923774;3955;Парк Челюскинцев;212;Первомайский;205000;12,2307652581;3213;2;2;63,8;4,1557531904;36;3,5835189385;11,7;2,4595888418;0;1;1947;1;1
256;П.Панченко, 62;27,554914;53,906077;621;Немига;71;Фрунзенский;83000;11,3265958868;1122;2;0;74;4,3040650932;36;3,5835189385;11;2,3978952728;0;0;2008;0;1
257;П.Панченко, 78;27,554914;53,906077;621;Немига;71;Фрунзенский;77000;11,2515607008;1027;2;0;75;4,3174881135;36;3,5835189385;11;2,3978952728;1;0;2008;1;1
